objid,u,g,r,i,z,class,redshift
1237666428817507712,17.81997,16.68301,16.40415,16.30491,16.32977,STAR,2.062451E-05
1237655498677092501,19.4584,19.23308,19.02076,18.80408,18.55342,QSO,2.081153
1237659326032511412,19.57617,17.97214,17.31663,17.06847,16.95881,STAR,-0.0002212514
1237661387619631169,19.04892,19.04793,19.40222,19.65694,19.96787,STAR,-7.922324E-05
1237668332570870055,19.19961,17.23768,16.32054,15.90725,15.53633,GALAXY,0.05050298
1237666429891316536,19.48561,18.24219,18.02047,18.28733,17.98759,STAR,-0.001298126
1237662475306139833,19.03236,16.46457,15.28573,14.82648,14.61959,STAR,-7.772024E-05
1237662500010066043,19.53078,18.1739,17.72343,17.38345,17.24088,GALAXY,0.08535527
1237659326032510993,17.85259,16.60749,16.04221,15.81544,15.72237,STAR,-0.0003965007
1237654952671969844,18.89893,16.90313,15.95365,15.49761,15.15438,GALAXY,0.08492903
1237655130380828940,19.01214,17.39089,16.62588,16.1963,15.86851,GALAXY,0.03620927
1237662267539325114,19.22561,18.01898,17.6114,17.31442,17.34658,GALAXY,0.03632031
1237661464379982061,19.32368,18.33852,17.71813,17.29488,17.07305,GALAXY,0.1155218
1237668756702101509,18.89737,17.79415,17.29814,17.10432,16.98688,STAR,-7.805927E-05
1237662341087428673,19.28088,18.16015,18.14218,18.22544,18.27921,STAR,-0.001010838
1237659162279543209,19.30151,17.6985,16.92372,16.49232,16.19744,GALAXY,0.1348169
1237655498677027270,18.74842,17.60094,17.13199,16.82866,16.64994,GALAXY,0.03686864
1237665549435732165,18.79921,17.70498,17.23576,16.93469,16.73355,GALAXY,0.0459589
1237668758849454563,18.107,16.94108,16.50227,16.34392,16.30675,STAR,-0.0001755519
1237662264324587603,16.63208,14.68019,13.79773,13.37299,13.06853,GALAXY,0.0333626
1237668271912124629,18.94869,17.77727,17.30352,17.07812,16.86381,GALAXY,0.02796065
1237662264324587930,19.099,17.92182,17.16204,16.72237,16.48477,GALAXY,0.1881058
1237661463843045507,19.20928,18.11636,17.38236,17.07723,16.90928,GALAXY,0.1624523
1237655469674397711,17.72084,17.66024,17.51879,17.47606,17.08173,QSO,0.2634006
1237668311627006105,19.16393,17.62686,16.82121,16.39219,16.0748,GALAXY,0.09233123
1237665569836958033,19.49574,19.25994,19.18252,18.96341,19.00591,QSO,1.664881
1237667783929430031,18.5484,16.67275,15.75049,15.33324,15.03086,GALAXY,0.07947608
1237648704061636906,19.40754,18.16987,17.61216,17.27932,17.07907,GALAXY,0.07635138
1237655472897655089,18.29273,16.58792,15.81322,15.44384,15.16102,GALAXY,0.03081447
